sy_name,hostname,sy_snum,sy_pnum,st_refname,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,st_ref_year,st_met_FeH,st_met_MH,st_met_NH,st_met_mH
11 Com,11 Com,2,1,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.0,13.76,2.09,[Fe/H],1.97823,2.45,,,,,,2023.0,-0.26,,,
11 Com,11 Com B,2,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4415.0,0.62512,0.691,,-0.87366,4.68562,,3.987976,,,,,,,,
11 UMi,11 UMi,1,1,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.0,29.79,2.78,[Fe/H],,1.93,,,,,,2017.0,-0.02,,,
14 And,14 And,1,1,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888.0,11.55,1.78,[Fe/H],1.83992,2.55,,,,,,2023.0,-0.21,,,
14 Her,14 Her,1,2,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.91,,,,,,,,,2022.0,,,,
16 Cyg,16 Cyg B,3,1,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,1.159464,0.982996,[Fe/H],,4.300386,,,,,,2021.0,0.0739,,,
16 Cyg,HIP 96895,3,1,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,G2V,5781.0,1.26,1.02,[Fe/H],0.23,4.28,8.36,,,,,2015.0,0.1,,,
16 Cyg,16 Cyg C,3,1,,,,,,,,,,,,,,,,,,
17 Sco,17 Sco,1,1,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.0,25.92,1.22,[Fe/H],2.25435,1.7,5.13,,3.98,329.49,,2020.0,-0.01,,,
18 Del,18 Del,2,1,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.0,8.8,2.1,[Fe/H],1.63367,2.87,,,,,,2023.0,-0.06,,,
